ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
6177,Chennai Super Kings,Shane Watson,c Tewatia b Kartik Tyagi,,1,,,,,,8,3,2,0,266.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-rajasthan-royals-37th-match-1216533/full-scorecard
6178,Chennai Super Kings,Ambati Rayudu,c  Samson b Tewatia,,1,,,,,,13,19,2,0,68.42,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-rajasthan-royals-37th-match-1216533/full-scorecard
1992,Chennai Super Kings,Murali Vijay,c Harbhajan Singh b Franklin,,1,,,,,,10,17,1,0,58.82,2012,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-mumbai-indians-1st-match-548306/full-scorecard
6180,Chennai Super Kings,Ravindra Jadeja,not out,,,,,,,1,35,30,4,0,116.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-rajasthan-royals-37th-match-1216533/full-scorecard
2037,Chennai Super Kings,Murali Vijay,b Ankit Sharma,,,1,,,,,2,5,0,0,40,2012,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-chennai-super-kings-6th-match-548311/full-scorecard
6182,Delhi Capitals,Prithvi Shaw,c Maxwell b Neesham,,1,,,,,,7,11,1,0,63.63,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6183,Delhi Capitals,Shikhar Dhawan,not out,,,,,,,1,106,61,12,3,173.77,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6184,Delhi Capitals,Shreyas Iyer,c  Rahul b Ashwin,,1,,,,,,14,12,0,1,116.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6185,Delhi Capitals,Rishabh Pant,c Agarwal b Maxwell,,1,,,,,,14,20,1,0,70,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6186,Delhi Capitals,Marcus Stoinis,c Agarwal b Mohammed Shami,,1,,,,,,9,10,0,0,90,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6187,Delhi Capitals,Shimron Hetmyer,b Mohammed Shami,,,1,,,,,10,6,0,1,166.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-delhi-capitals-38th-match-1216546/full-scorecard
6188,Kolkata Knight Riders,Shubman Gill,c Morris b Saini,,1,,,,,,1,6,0,0,16.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6189,Kolkata Knight Riders,Rahul Tripathi,c  de Villiers b Mohammed Siraj,,1,,,,,,1,5,0,0,20,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6190,Kolkata Knight Riders,Nitish Rana,b Mohammed Siraj,,,1,,,,,0,1,0,0,0,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6191,Kolkata Knight Riders,Tom Banton,c  de Villiers b Mohammed Siraj,,1,,,,,,10,8,1,1,125,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6192,Kolkata Knight Riders,Dinesh Karthik,lbw b Chahal,,,,1,,,,4,14,0,0,28.57,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
